VGA HUB TEST
Tanggal  : 01-01-2000
Jam      : 01:46:27
Operator : TJA
Produk   : TJGP8
----------------------

   1      56.73 Kg

   2      56.73 Kg

   3      56.73 Kg

   4      56.73 Kg

   5      56.73 Kg

   6      56.73 Kg

   7      56.73 Kg

