VGA HUB TEST
No BATCH : RCL_1220
Tanggal  : 01-01-395919
Jam      : 1070513752:10705135
Operator : JOKO
Produk   : tomcat
----------------------

   1      32.35 Kg

   2      32.35 Kg

   3     745.23 Kg

   4     745.23 Kg

   5     745.23 Kg

   6     745.23 Kg

   7     574.23 Kg

   8     574.23 Kg

   9     574.23 Kg

